squad,player_id,player,fantasy_position
Angel City,97b96797,Macey Hodge,MF
Angel City,f2284088,Claire Emslie,FW
Angel City,213a7877,Katie Zelem,MF
Angel City,2ae9e277,Miyabi Moriya,DF
Angel City,16368450,Madison Hammond,MF
Angel City,662d8aeb,Julie Dufour,FW
Angel City,fe95f6e7,Christen Press,FW
Angel City,124d6db5,Casey Phair,FW
Angel City,d66e970b,Megan Reid,DF
Angel City,6fe0b3fe,Lily Nabet,MF
Angel City,b58f71f5,Hannah Stambaugh,GK
Angel City,8252bc62,Alanna Kennedy,DF
Angel City,36008361,Gisele Thompson,DF
Angel City,18dd307e,Riley Tiernan,FW
Angel City,be5200d5,Kennedy Fuller,MF
Angel City,5dfeb94f,Savannah King,DF
Angel City,a0516248,Mary Vignola,DF
Angel City,c6122e4b,Sarah Gorden,DF
Angel City,06115ef0,Angelina Anderson,GK
Angel City,2fcc0a10,Alyssa Thompson,FW
Angel City,f593cab9,Jun Endo,FW
Bay FC,c4f44958,Caprice Dydasco,DF
Bay FC,bdd9289e,Catherine Paulson,
Bay FC,87fc628b,Jordan Brewster,DF
Bay FC,f3e2324d,Emmie Allen,GK
Bay FC,acbf23b6,Emily Menges,DF
Bay FC,23a1662b,Asisat Oshoala,FW
Bay FC,edb4b4b1,Joelle Anderson,MF
Bay FC,32f48f46,Racheal Kundananji,FW
Bay FC,50bf36a3,Alyssa Malonson,DF
Bay FC,938dc3a8,Kiki Pickett,DF
Bay FC,9fe4c40f,Jordan Silkowitz,GK
Bay FC,e9082a8d,Taylor Huff,MF
Bay FC,52b58405,Abby Dahlkemper,DF
Bay FC,1b15d6a3,Dorian Bailey,MF
Bay FC,b035ac13,Caroline Conti,MF
Bay FC,4c3147d0,Tess Boade,FW
Bay FC,1d8b51dd,Rachel Hill,FW
Bay FC,9b45521f,Penelope Hocking,FW
Bay FC,bc03c54d,Kelli Hubly,DF
Bay FC,47b9e2ef,Hannah Bebar,MF
Bay FC,da57cca7,Madeline Moreau,DF
Bay FC,f3a1b6a9,Jamie Shepherd,MF
Bay FC,8223d6eb,Melissa Lowder,GW
Bay FC,93daa4eb,Karlie Lema,FW
Chicago Stars,758fe55e,Ally Schlegel,FW
Chicago Stars,0f668725,Jameese Joseph,FW
Chicago Stars,92075fc4,Julia Grosso,MF
Chicago Stars,56f16bc7,Cari Roccaro,MF
Chicago Stars,4c1ee572,Alyssa Naeher,GK
Chicago Stars,a0c8f7b2,Taylor Malham,DF
Chicago Stars,fb6605c0,Bea Franklin,MF
Chicago Stars,939ba0d8,Chardonnay Curran,MF
Chicago Stars,bb65b66d,Manaka Hayashi,MF
Chicago Stars,662d7873,Ava Cook,FW
Chicago Stars,fab5ceed,Sarah Griffith,FW
Chicago Stars,453fa0c0,Halle Mackiewicz,GK
Chicago Stars,09e68675,Mackenzie Wood,GK
Chicago Stars,703f4922,Catherine Barry,
Chicago Stars,72e66627,Leilanni Nesbeth,MF
Chicago Stars,a3ac4412,Micayla Johnson,FW
Chicago Stars,7c6de047,Justina Gaynor,
Chicago Stars,a1ee25ac,Nadia Gomes,FW
Chicago Stars,ee96ceb8,Shea Groom,MF
Chicago Stars,53cef818,Hannah Anderson,DF
Chicago Stars,3ca55cb5,Maitane Lopez,MF
Chicago Stars,9b763275,Samantha Staab,DF
Chicago Stars,7fa57813,Ludmila,FW
Chicago Stars,76828205,Camryn Biegalski,DF
Courage,01079eae,Felicitas Rauch,DF
Courage,130c8e6e,Hannah Betfort,FW
Courage,f8e41f9d,Malia Berkely,DF
Courage,580d2856,Shinomi Koyama,MF
Courage,bab2c5ab,Tyler Lussi,FW
Courage,51e267dc,Aline,FW
Courage,57045f36,Brianna Pinto,MF
Courage,23b17daa,Kaleigh Kurtz,DF
Courage,444cfc74,Charlotte Mclean,DF
Courage,399c5a1a,Marisa Bova,GK
Courage,442d8200,Dani Weatherholt,MF
Courage,ee98152f,Brooklyn Courtnall,DF
Courage,b7c6d694,Talia Staude,DF
Courage,493c384e,Casey Murphy,GK
Courage,2f3ffc2d,Denise O'Sullivan,MF
Courage,787e8bfd,Ryan Williams,DF
Courage,77361b23,Jaedyn Shaw,MF
Courage,9ced946b,Ashley Sanchez,FW
Courage,a4a65861,Manaka Matsukubo,MF
Courage,55d492ba,Cortnee Vine,FW
Courage,3ed16dcd,Meredith Speck,MF
Courage,2e87a8a5,Riley Jackson,MF
Courage,4b32b951,Maycee Bell,DF
Current,d67e21a2,Lacho Marta,
Current,e4ef9beb,Lo'eau LaBonta,MF
Current,0ce1f38f,Lorena,GK
Current,0ba36ee8,Kayla Sharples,DF
Current,a69d6298,Ellie Wheeler,DF
Current,b86badfa,Temwa Chawinga,FW
Current,85cea0cf,Debinha,MF
Current,43d5b985,Isabel Rodriguez,DF
Current,e940a089,Vanessa DiBernardo,MF
Current,7db28545,Claire Hutton,MF
Current,7ca7c385,Alana Cook,DF
Current,5f97ae2e,Michelle Cooper,FW
Current,eea3655d,Elizabeth Ball,DF
Current,9c06c97c,Nichelle Prince,FW
Current,d6ed0c7f,Beatriz,FW
Current,5d05e9a1,Haley Hopkins,FW
Current,362b4969,Raquel Rodríguez,MF
Current,388948a7,Hailie Mace,DF
Current,28814cc8,Bayley Feist,MF
Current,8f97c19a,Mary Long,FW
Current,feef7ea8,Laurel Ivory,GK
Current,57cb0988,Mwanalima Jereko,FW
Current,35919238,Katie Scott,DF
Current,d85718cb,Regan Steigleder,DF
Dash,ef032510,Delanie Sheehan,MF
Dash,0b96a829,Evelina Duljan,MF
Dash,b03e80f6,Michelle Alozie,FW
Dash,0a85fee3,Diana Ordoñez,FW
Dash,e8f90dc9,Sophie Schmidt,MF
Dash,274666f1,Christen Westphal,DF
Dash,c942bc07,Natalie Jacobs,DF
Dash,01204fe0,Messiah Bright,FW
Dash,883f60f8,Avery Patterson,FW
Dash,8055d335,Ryan Gareis,FW
Dash,8dc6b01e,Maggie Graham,FW
Dash,b4ce93ce,Bárbara Olivieri,MF
Dash,28392158,Ramona Bachmann,FW
Dash,24478b0c,Danielle Colaprico,MF
Dash,22502cce,Yazmeen Ryan,FW
Dash,2a0f0a55,Paige Nielsen,DF
Dash,fa5e9ae1,Katie Lind,DF
Dash,c40fd1ac,Jane Campbell,GK
Dash,31d22151,Kiki Van Zanten,MF
Dash,947d22fb,Abby Smith,GK
Dash,ae3479ec,Zoe Matthews,MF
Dash,afcbf4d8,Allysha Chapman,DF
Dash,4a1e993d,Isabella Briede,MF
Dash,088dd3ef,Sarah Puntigam,MF
Gotham FC,b26a8c1f,Nealy Martin,MF
Gotham FC,8dd703ab,Gabi Portilho,MF
Gotham FC,268a4e22,Ella Stevens,FW
Gotham FC,f790716d,Bruninha,DF
Gotham FC,711932d7,Taryn Torres,MF
Gotham FC,543614ff,Tierna Davidson,DF
Gotham FC,ee5355a7,Mandy Freeman,DF
Gotham FC,5b5de127,Geyse,FW
Gotham FC,cd6a0894,Jessica Silva,FW
Gotham FC,c94c70bc,Margaret Purce,FW
Gotham FC,8e2a7ac1,Cecelia Kizer,FW
Gotham FC,1017b590,Khyah Harper,FW
Gotham FC,eeb2f6eb,Mak Whitham,FW
Gotham FC,4c2ad3f9,Stella Nyamekye,FW
Gotham FC,9e11e21d,Michelle Betos,GK
