name,Position,2025 Points
Aaliyah Farmer,DF,0
Katie Wiesner,DF,0
Jun Endō,FW,0
Abby Dahlkemper,DF,68
Abby Smith,GK,45
Adriana Leon,FW,92
Ainsley McCammon,MF,55.5
Aïssata Traoré,FW,0
Alana Cook,DF,57.5
Alba Caño,MF,0
Aldana Cometti,DF,0
Aleigh Gambone,MF,0
Alex Pfeiffer,FW,7
Alex Loera,MF,1
Alexa Spaanstra,FW,41.5
Ally Schlegel,FW,141.5
Ally Lemos,MF,91.5
Ally Brazier,FW,126.5
Ally Sentnor,FW,115.5
Allysha Chapman,DF,41
Alyssa Malonson,DF,164
Alyssa Naeher,GK,111.5
Amanda Allen,FW,0
Amanda Gutierres,FW,0
Amanda West,FW,0
Amelia White,FW,0
Ana Tejada,MF,123
Andi Sullivan,MF,0
Andrea Kitahata,FW,0
Angelina Anderson,GK,84.5
Angelina,MF,122.5
Angharad James-Turner,MF,0
Ann-Katrin Berger,GK,175
Anna Moorhouse,GK,153
Annie Karich,MF,0
Anouk Denton,DF,0
Aria Nagai,MF,40.5
Arin Wright,DF,149
Ary Borges,MF,106.5
Ashley Sanchez,MF,106
Ashley Hatch,FW,65
Aubrey Kingsbury,GK,155
Audrey McKeen,FW,0
Avery Ciorbu,MF,0
Avery Patterson,DF,191
Ayo Oke,DF,0
Barbra Banda,FW,109.5
Barbra Olivieri,MF,84.5
Bayley Feist,MF,14
Bea Franklin,MF,137
Bella Bixby,GK,48.5
Belle Briede,MF,0
Bianca St Georges,DF,59.5
Brecken Mozingo,FW,83.5
Brianna Pinto,MF,52
Brittany Ratcliffe,FW,46
Brooklyn Courtnall,DF,49
Bruninha,DF,118.5
Caiya Hanks,FW,60
Cameron Brooks,DF,0
Camryn Biegalski,DF,117
Caprice Dydasco,DF,188
Cara Martin,GK,0
Carina Lageyre,MF,0
Carly Wickenheiser,MF,0
Caroline Conti,MF,90.5
Caroline DeLisle,GK,0
Carolyn Calzada,DF,0
Carson Pickett,DF,112.5
Casey Phair,FW,7
Casey Murphy,GK,109
Casey Krueger,DF,49.5
Cassandra Bogere,MF,0
Cassie Miller,GK,0
Cece Delzer,FW,39.5
Chioma Okafaor,FW,0
Chloe Ricketts,MF,16
Christen Westphal,DF,45.5
Claire Emslie,FW,40.5
Claire Hutton,MF,188.5
Clare Gagne,GK,0
Clarissa Larisey,FW,25.5
Claudia Dickey,GK,144.5
Claudia Martinez,FW,0
Cloé Lacasse,FW,48.5
Cori Dyke,DF,84.5
Cortnee Vine,FW,40
Cosette Morché,GK,0
Courtney Petersen,DF,112.5
Courtney Brown,MF,34.5
Cristiana Girelli,FW,0
Cristina Roque,GK,0
Croix Bethune,MF,110.5
Daiane,DF,9.5
Dani Weatherholt,MF,45.5
Danielle Colaprico,MF,177
Dayana Pierre-Louis,MF,0
DeAira Jackson,GK,0
Debinha,MF,145
Deborah Abiodun,MF,68.5
Delanie Sheehan,MF,164.5
Devin Lynch,MF,0
Deyna Castellanos,FW,72.5
DiDi Haracic,GK,8
Dorian Bailey,MF,73.5
Dudinha,FW,63
Élisabeth Tsé,DF,0
Elise Evans,DF,0
Elizabeth Ball,DF,136
Ella Hase,DF,90
Ella Stevens,FW,32
Ellie Jean,DF,125.5
Ellie Wheeler,DF,130.5
Emeri Adames,FW,79.5
Emerson Elgin,DF,0
Emily Sams,DF,216.5
Emily Menges,DF,19
Emily Mason,DF,14.5
Emily Sonnett,DF,212
Emma Sears,FW,175.5
Emma Egizii,MF,0
Emma Regan,MF,0
Emma Gaines-Ramos,FW,0
Emmie Allen,GK,7
Esme Morgan,DF,207
Esther González,FW,156.5
Eva Gaetino,DF,0
Evan O'Steen,GK,0
Evelina Duljan,MF,43.5
Evelyn Ijeh,FW,0
Evelyn Shores,DF,80
Faith Nguyen,GK,0
Faith Webber,FW,0
Fauzia Najjemba,FW,0
Felicitas Rauch,DF,60
Gabi Portilho,FW,87.5
Gabrielle Carle,DF,146.5
Gabrielle Robinson,DF,32
Gia Corley,MF,120.5
Gianna Paul,FW,0
Gift Monday,FW,115
Gisele Thompson,DF,146.5
Hailie Mace,DF,177
Hal Hershfelt,MF,97.5
Haley McCutcheon,MF,162
Haley Hopkins,FW,53.5
Halle Mackiewicz,GK,6.5
Hannah Betfort,FW,46
Hannah Anderson,DF,24.5
Hannah Seabert,GK,27
Hannah Bebar,MF,86
Hannah Stambaugh,GK,0
Heather Gilchrist,DF,0
Hillary Beall,GK,0
Hina Sugita,MF,184
Isabella Obaze,DF,149
Ivonne Chacón,FW,16.5
Izzy Rodriguez,DF,196.5
Jaedyn Shaw,MF,121.5
Jaelin Howell,MF,211.5
Jameese Joseph,FW,102
Jamie Shepherd,MF,21
Jane Campbell,GK,88
Janine Sonis,DF,169.5
Janni Thomsen,DF,133
Jasmine Aikey,FW,0
Jayden Perry,DF,102
Jenna Bike,FW,22
Jess Fishlock,MF,84.5
Jess Carter,DF,180.5
Jessie Fleming,MF,137
Joelle Anderson,MF,101.5
Jordan Silkowitz,GK,116.5
Jordan Nytes,GK,0
Jordan Baggett,MF,0
Jordyn Bloomer,GK,110.5
Jordyn Bugg,DF,194.5
Jordyn Huitema,FW,88
Jordyn Dudley,FW,0
Jorelyn Carablí,DF,0
Josefine Hasbo,MF,47.5
Julia Grosso,MF,153
Julie Doyle,FW,30.5
Julie Dufour,FW,44
Jun End?,FW,32.5
Jyllissa Harris,DF,0
Kailen Sheridan,GK,161
Kaká,DF,0
Kaleigh Riehl,DF,79
Kaleigh Kurtz,DF,213
Kameron Simmonds,DF,0
Karlie Lema,FW,98
Karsyn Cherry,DF,0
Kat Asman,GK,0
Kat Rader,FW,0
Kate Del Fava,DF,180
Kate Wiesner,DF,57.5
Kate Faasse,FW,0
Kathrin Hendrich,DF,68.5
Katie Lund,GK,19.5
Katie Scott,DF,9
Katie Stengel,FW,49.5
Kayla Fischer,MF,74.5
Kayla Sharples,DF,231.5
Kayla Duran,DF,8.5
Kaylie Collins,GK,0
Keira Barry,FW,0
Kelli Hubly,DF,53
Kennedy Fuller,MF,156.5
Kennedy Wesley,DF,139
Kenza Dali,MF,247
Kerry Abello,DF,142.5
Khyah Harper,FW,23
Kiana Palacios,FW,0
Kiki Pickett,DF,77
Kiki Van Zanten,MF,95.5
Kimmi Ascanio,MF,142
KK Ream,FW,19
Kolo Suliafu,DF,0
Kristen McNabb,DF,145
Kylie Strom,DF,165.5
Laís Araújo,DF,0
Laney Rouse,DF,0
Lara Prašnikar,FW,2
Laurel Ansbrow,DF,0
Laurel Ivory,GK,19
Lauren Milliet,DF,96
Laurina Fazer,MF,33
Lauryn Thompson,FW,0
Leah Freeman,GK,0
Leah Klenke,DF,0
Leicy Santos,MF,99
Leilanni Nesbeth,MF,10
Lia Godfrey,MF,0
Lilly Reale,DF,201.5
Linda Ullmark,MF,0
Lindsay Heaps,MF,0
Lisa Boattin,DF,22.5
Lizbeth Ovalle,FW,50.5
Lo'eau LaBonta,MF,154
Lorena,GK,175.5
Lourdes Bosch,MF,0
Luana,MF,5
Lucia Di Guglielmo,DF,0
Ludmila,FW,152.5
Luisa Agudelo,GK,0
Lynn Biyendolo,FW,48.5
MA Vignola,DF,130
Macey Hodge,MF,44.5
Mackenzie Arnold,GK,109.5
Mackenzie Wood,GK,0
Macy Blackburn,DF,0
Maddie Padelski,FW,0
Maddie Pokorny,DF,0
Maddie Moreau,DF,0
Maddie Prohaska,GK,0
Maddie Dahlien,FW,147.5
Maddie Mercado,MF,39.5
Madison White,GK,0
Madison Curry,DF,148
Madison Hammond,MF,86.5
Maggie Graham,MF,112.5
Maiara Niehues,MF,34.5
Maitane López Millán,MF,138
Maithé López,DF,0
Maja Lardner,FW,0
Mak Whitham,FW,0
Makenna Morris,MF,79
Makenzy Robbe,FW,32.5
Malia Berkely,DF,123
Mallie McKenzie,DF,48.5
Mallory Swanson,FW,0
Manaka Matsukubo,MF,196.5
Manaka Hayashi,MF,48
Mandy McGlynn,GK,145
Mandy Freeman,DF,87.5
Margaret Purce,FW,88.5
Marie Müller,DF,0
Marie-Yasmine Alidou,FW,51.5
Marisa DiGrande,MF,54.5
Marisa Jordan,GK,21.5
Marta,FW,143.5
Mary Long,FW,17
Maycee Bell,DF,141.5
McKinley Crone,GK,8.5
Megan Reid,DF,68.5
Melanie Barcenas,FW,55
Melia Brewer,MF,0
Melissa Kössler,FW,0
Meredith Speck,MF,49
Messiah Bright,FW,76.5
Mia Fishel,FW,24
Mia Justus,GK,16
Micayla Johnson,FW,25
Michelle Alozie,FW,41.5
Michelle Cooper,FW,121
Mimi Van Zanten,DF,0
Mina Tanaka,FW,151.5
Mirann Gacioch,DF,0
Miyabi Moriya,DF,108
Molly Pritchard,GK,0
Morgan Weaver,FW,0
Morgan Messner,GK,0
Nádia Gomes,FW,67
Nadia Cooper,GK,0
Nahikari Garcia,FW,0
Narumi Miura,MF,138.5
Natalia Kuikka,DF,21.5
Natalie Jacobs,DF,143
Natalie Means,DF,0
Natasha Flint,FW,0
Nealy Martin,MF,109.5
Neeku Purcell,GK,0
Nérilia Mondésir,FW,64.5
Nichelle Prince,FW,79.5
Nicki Hernandez,DF,0
Nicole Payne,DF,0
Nuria Rábano,DF,147.5
Nya Harrison,DF,0
Oihane Hernández,DF,85
Olivia Wingate,FW,0
Olivia Moultrie,MF,180.5
Olivia Sekany,GK,0
Olivia Thomas,FW,0
Onyeka Gamero,FW,0
Paige Cronin,FW,82
Paige Nielsen,DF,179
Paige Metayer,MF,41
Pauline Peyraud-Magnin,GK,0
Payton Linnehan,FW,70
Penelope Hocking,FW,85
Perle Morroni,DF,184
Phoebe McClernon,DF,188.5
Pietra Tordin,FW,66
Prisca Chilufya,FW,36.5
Quincy McMahon,DF,2
Racheal Kundananji,FW,140.5
Rachel Hill,FW,86
Rafaelle Souza,DF,77
Raquel Rodríguez,MF,54.5
Rebeca Bernal,DF,144
Rebeca Costa da Silva,DF,0
Reilyn Turner,FW,123.5
Reyna Reyes,DF,207.5
Riley Jackson,MF,174
Riley Tiernan,FW,146.5
Rose Lavelle,MF,107.5
Rosemonde Kouassi,FW,113.5
Ryan Campbell,GK,2
Ryan Williams,DF,218
Ryan Gareis,FW,62.5
Ryanne Brown,DF,0
Sally Menti,MF,62.5
Sam Angel,DF,7.5
Samantha Hiatt,DF,153
Samantha Staab,DF,149.5
Samantha Meza,MF,172
Sammy Smith,FW,0
Sandy MacIver,GK,4.5
Sara Wojdelko,GK,0
Sarah Gorden,DF,160
Sarah Weber,FW,89.5
Sarah Puntigam,MF,49
Sarah Schupansky,FW,88.5
Savannah McCaskill,MF,160.5
Savannah King,DF,48
Savannah DeMelo,MF,102.5
Seven Castain,FW,0
Shae Harvey,MF,0
Shae Holmes,DF,61
Shelby Hogan,GK,1
Shinomi Koyama,MF,127
Simone Charley,FW,13.5
Simone Jackson,FW,19
Sintia Cabezas,DF,0
Sofia Cook,MF,14.5
Sofia Huerta,DF,88.5
Sofia Cedeno,MF,0
Sofia Cantore,FW,52.5
Solai Washington,FW,0
Sophia Mattice,DF,0.5
Sophia Smith,FW,0
Sophia Lowenberg,MF,0
Sophie Schmidt,MF,34
Stella Nyamekye,MF,3
Summer Yates,FW,37
Sveindís Jónsdóttir,FW,69
Sydney Schmidt,DF,0
Sydney Leroux,FW,0
Sydney Collins,DF,65
Talia Sommer,MF,0
Talia Staude,DF,60
Tamara Bolt,FW,0
Tara Rudd,DF,207.5
Taryn Torres,DF,57.5
Tatumn Milazzo,DF,0
Taylor Suarez,MF,0
Taylor White,FW,0
Taylor Flint,MF,171
Taylor Huff,MF,151
Taylor Wood,DF,123
Teagan Wy,GK,0
Temwa Chawinga,FW,191
Tess Boade,FW,63
Tessa Dellarose,DF,0
Tierna Davidson,DF,16.5
Trinity Armstrong,DF,171
Trinity Byars,FW,0
Trinity Rodman,FW,89
Tyler Lussi,FW,92.5
Valerin Loboa,FW,0
Vanessa DiBernardo,MF,60
Viviana Villacorta,MF,6.5
Yazmeen Ryan,FW,161.5
Yuna McCormack,MF,0
Zara Chavosi,DF,37
Aisha Solorzano,,
Alanna Kennedy,,
Ali Riley,,
Aline Gomes,,
Ally Watt,,
Alyssa Thompson,FW,
Ana Guzman,,
Ana Maria Crnogorcevic,,
Angharad James,,
Anna Heilferty,,
Asisat Oshoala,,
Ava Cook,,
Beatriz,,
Bethany Balcer,,
Brianna Martinez,,
Cari Roccaro,,
Catherine Barry,,
Catherine Paulson,,
Cecelia Kizer,,
Chardonnay Curran,,
Chiamaka Okwuchukwu,,
Christen Press,FW,
Claudia Zornoza,,
Dana Foederer,,
Daniela Arias,,
Delphine Cascarino,FW,
Denise O Sullivan,,
Diana Ordonez,,
Dijana Haracic,,
Elli Pikkujamsa,,
Favour Emmanuel,,
Flora Marta Lacho,,
Geyse,FW,
Grace Chanda,,
Hanna Glas,DF,
Hanna Lundkvist,,
Hannah Johnson,,
Heather MacNab,,
Heather Stainbrook,MF,
Imani Dorsey,,
Jessica Silva,,
Jordan Brewster,,
Jordan Fusco,,
Justina Gaynor,,
Kaitlyn Torpey,,
Kalyssa van Zanten,,
Katie Lind,,
Katie Zelem,,
Kiara Pickett,,
Kiley Dulaney,,
Kyra Carusa,,
Kysha Sylla,,
Laila Harbert,,
Lauren Barnes,,
Lauren Flynn,DF,
Lily Nabet,,
Lorena Leite,,
Ludmila da Silva,FW,
Macey Fraser,,
Madison Pogarch,,
Margie Detrizio,,
Maria Sanchez,,
Mary Alice Vignola,,
Mckenna Whitham,,
Meg Boade,,
Midge Purce,FW,
Mikayla Cluff,,
Morgan Gautrat,,
Mwanalima Jereko,,
Natalia Staude,,
Olivia Van der Jagt,,
Paige Monaghan,FW,
Rafaelle,,
Ramona Bachmann,,
Regan Steigleder,,
Sam Cary,,
Sam Coffey,MF,
Sara Doorsoun,,
Savy King,,
Shea Groom,,
So-Yun Ji,,
Sophie Hirst,,
Sydney Jones,,
