player,nwsl_team,draft_position
Ali Riley,Angel City FC,DF
Madison Curry,Angel City FC,DF
Elizabeth Eddy,Angel City FC,DF
Gisele Thompson,Angel City FC,DF
Jasmyne Spencer,Angel City FC,DF
Mary Vignola,Angel City FC,DF
Megan Reid,Angel City FC,DF
Merritt Mathias,Angel City FC,DF
Sarah Gorden,Angel City FC,DF
Alyssa Thompson,Angel City FC,FW
Casey Phair,Angel City FC,FW
Christen Press,Angel City FC,FW
Claire Emslie,Angel City FC,FW
Katie Johnson,Angel City FC,FW
Messiah Bright,Angel City FC,FW
Sydney Leroux,Angel City FC,FW
Angelina Anderson,Angel City FC,GK
DiDi Haracic,Angel City FC,GK
Hannah Stambaugh,Angel City FC,GK
Clarisse Le Bihan,Angel City FC,MF
Felicia Knox,Angel City FC,MF
Katie Zelem,Angel City FC,MF
Jun Endo,Angel City FC,MF
Kennedy Fuller,Angel City FC,MF
Lily Nabet,Angel City FC,MF
Madison Hammond,Angel City FC,MF
Meggie Dougherty Howard,Angel City FC,MF
Raquel Rodríguez,Angel City FC,MF
Alyssa Malonson,Bay FC,DF
Abby Dahlkemper,Bay FC,DF
Jordan Brewster,Bay FC,DF
Caprice Dydasco,Bay FC,DF
Maddie Moreau,Bay FC,DF
Emily Menges,Bay FC,DF
Jennifer Beattie,Bay FC,DF
Kiki Pickett,Bay FC,DF
Savannah King,Bay FC,DF
Asisat Oshoala,Bay FC,FW
Princess Marfo,Bay FC,FW
Racheal Kundananji,Bay FC,FW
Penelope Hocking,Bay FC,FW
Rachel Hill,Bay FC,FW
Scarlett Camberos,Bay FC,FW
Katelyn Rowland,Bay FC,GK
Lysianne Proulx,Bay FC,GK
Emmie Allen,Bay FC,GK
Melissa Lowder,Bay FC,GK
Alex Loera,Bay FC,MF
Caroline Conti,Bay FC,MF
Deyna Castellanos,Bay FC,MF
Dorian Bailey,Bay FC,MF
Jamie Shepherd,Bay FC,MF
Joelle Anderson,Bay FC,MF
Maya Doms,Bay FC,MF
Tess Boade,Bay FC,MF
Camryn Biegalski,Chicago Red Stars,DF
Maximiliane Rall,Chicago Red Stars,DF
Natalia Kuikka,Chicago Red Stars,DF
Samantha Staab,Chicago Red Stars,DF
Tatumn Milazzo,Chicago Red Stars,DF
Hannah Anderson,Chicago Red Stars,DF
Taylor Malham,Chicago Red Stars,DF
Allyson Schlegel,Chicago Red Stars,FW
Ava Cook,Chicago Red Stars,FW
Jameese Joseph,Chicago Red Stars,FW
Ludmila,Chicago Red Stars,FW
Mallory Swanson,Chicago Red Stars,FW
Nádia Gomes,Chicago Red Stars,FW
Ally Cook,Chicago Red Stars,FW
Rosella Ayane,Chicago Red Stars,FW
Shea Groom,Chicago Red Stars,FW
Alyssa Naeher,Chicago Red Stars,GK
Mackenzie Wood,Chicago Red Stars,GK
Sydney Schneider,Chicago Red Stars,GK
Cari Roccaro,Chicago Red Stars,MF
Bea Franklin,Chicago Red Stars,MF
Chardonnay Curran,Chicago Red Stars,MF
Julia Grosso,Chicago Red Stars,MF
Jenna Bike,Chicago Red Stars,MF
Julia Bianchi,Chicago Red Stars,MF
LeiLanni Nesbeth,Chicago Red Stars,MF
Sami Feller,Chicago Red Stars,MF
Sarah Griffith,Chicago Red Stars,MF
Sophie Jones,Chicago Red Stars,MF
Ally Prisock,Houston Dash,DF
Paige Nielsen,Houston Dash,DF
Croix Soto,Houston Dash,DF
Jyllissa Harris,Houston Dash,DF
Tarciane,Houston Dash,DF
Katie Lind,Houston Dash,DF
Natalie Jacobs,Houston Dash,DF
Sarah Puntigam,Houston Dash,DF
Cecelia Kizer,Houston Dash,FW
Diana Ordoñez,Houston Dash,FW
Ramona Bachmann,Houston Dash,FW
Amanda West,Houston Dash,FW
Michelle Alozie,Houston Dash,FW
Yūki Nagasato,Houston Dash,FW
Avery Patterson,Houston Dash,FW
Heather Hinz,Houston Dash,GK
Jane Campbell,Houston Dash,GK
Savannah Madden,Houston Dash,GK
Andressa,Houston Dash,MF
Elin Rubensson,Houston Dash,MF
Bárbara Olivieri,Houston Dash,MF
Isabella Briede,Houston Dash,MF
Emily Curran,Houston Dash,MF
Havana Solaun,Houston Dash,MF
Kiki Van Zanten,Houston Dash,MF
Sophie Schmidt,Houston Dash,MF
Elizabeth Ball,Kansas City Current,DF
Ellis Wheeler,Kansas City Current,DF
Gabrielle Robinson,Kansas City Current,DF
Kayla Sharples,Kansas City Current,DF
Alana Cook,Kansas City Current,DF
Hailie Mace,Kansas City Current,DF
Isabel Rodriguez,Kansas City Current,DF
Lauren,Kansas City Current,DF
Mallory Weber,Kansas City Current,DF
Regan Steigleder,Kansas City Current,DF
Stine Ballisager Pedersen,Kansas City Current,DF
Alex Pfeiffer,Kansas City Current,FW
Mwanalima Adam Jereko,Kansas City Current,FW
Beatriz,Kansas City Current,FW
Kristen Hamilton,Kansas City Current,FW
Hildah Magaia,Kansas City Current,FW
Michelle Cooper,Kansas City Current,FW
Nichelle Prince,Kansas City Current,FW
Temwa Chawinga,Kansas City Current,FW
Adrianna Franch,Kansas City Current,GK
Almuth Schult,Kansas City Current,GK
Jordan Silkowitz,Kansas City Current,GK
Bayley Feist,Kansas City Current,MF
Claire Hutton,Kansas City Current,MF
Allie Long,Kansas City Current,MF
Debinha,Kansas City Current,MF
Desiree Scott,Kansas City Current,MF
Lo'eau LaBonta,Kansas City Current,MF
Sophie Braun,Kansas City Current,MF
Vanessa DiBernardo,Kansas City Current,MF
Bruninha,NJ/NY Gotham FC,DF
Jenna Nighswonger,NJ/NY Gotham FC,DF
Kelley O'Hara,NJ/NY Gotham FC,DF
Kristen Edmonds,NJ/NY Gotham FC,DF
Maitane López Millán,NJ/NY Gotham FC,DF
Mandy Freeman,NJ/NY Gotham FC,DF
Jess Carter,NJ/NY Gotham FC,DF
Samantha Hiatt,NJ/NY Gotham FC,DF
Taryn Torres,NJ/NY Gotham FC,DF
Tierna Davidson,NJ/NY Gotham FC,DF
Crystal Dunn,NJ/NY Gotham FC,FW
Ella Stevens,NJ/NY Gotham FC,FW
Jéssica Silva,NJ/NY Gotham FC,FW
Esther González,NJ/NY Gotham FC,FW
Katie Stengel,NJ/NY Gotham FC,FW
Cecelia Kizer,NJ/NY Gotham FC,FW
Lynn Williams,NJ/NY Gotham FC,FW
McKenna Whitham,NJ/NY Gotham FC,FW
Margaret Purce,NJ/NY Gotham FC,FW
Abby Smith,NJ/NY Gotham FC,GK
Cassie Miller,NJ/NY Gotham FC,GK
Ann-Katrin Berger,NJ/NY Gotham FC,GK
Michelle Betos,NJ/NY Gotham FC,GK
Delanie Sheehan,NJ/NY Gotham FC,MF
Emily Sonnett,NJ/NY Gotham FC,MF
McCall Zerboni,NJ/NY Gotham FC,MF
Nealy Martin,NJ/NY Gotham FC,MF
Rose Lavelle,NJ/NY Gotham FC,MF
Sinead Farrelly,NJ/NY Gotham FC,MF
Yazmeen Ryan,NJ/NY Gotham FC,MF
Felicitas Rauch,North Carolina Courage,DF
Julia Dorsey,North Carolina Courage,DF
Maycee Bell,North Carolina Courage,DF
Maya McCutcheon,North Carolina Courage,DF
Charlotte McLean,North Carolina Courage,DF
Kaleigh Kurtz,North Carolina Courage,DF
Malia Berkely,North Carolina Courage,DF
Ryan Williams,North Carolina Courage,DF
Sarah Clark,North Carolina Courage,DF
Jenne Winebrenner,North Carolina Courage,DF
Sydney Collins,North Carolina Courage,DF

Ashley Sanchez,North Carolina Courage,FW
Cortnee Vine,North Carolina Courage,FW
Bianca St Georges,North Carolina Courage,FW
Kerolin,,
Haley Hopkins,North Carolina Courage,FW
Olivia Wingate,North Carolina Courage,FW
Aline Gomes,North Carolina Courage,FW
Landy Mertz,North Carolina Courage,FW
Tyler Lussi,North Carolina Courage,FW
Casey Murphy,North Carolina Courage,GK
Hensely Hancuff,North Carolina Courage,GK
Marisa Bova,North Carolina Courage,GK
Brianna Pinto,North Carolina Courage,MF
Clara Robbins,North Carolina Courage,MF
Dani Weatherholt,North Carolina Courage,MF
Denise O'Sullivan,North Carolina Courage,MF
Manaka Matsukubo,North Carolina Courage,MF
Meredith Speck,North Carolina Courage,MF
Narumi Miura,North Carolina Courage,MF
Victoria Pickett,North Carolina Courage,MF
Julia Lester,Seattle Reign FC,DF
Lauren Barnes,Seattle Reign FC,DF
Lily Woodham,Seattle Reign FC,DF
