week,manager,benched_player
1,Bill,Didi Haracic
1,Bill,Kerry Abello
1,Bill,Raquel Rodríguez
2,Bill,Didi Haracic
2,Bill,Kerry Abello
2,Bill,Raquel Rodríguez
1,Joey,Luisa Agudelo
1,Joey,Tierna Davidson
1,Joey,Barbra Olivieri
2,Joey,Luisa Agudelo
2,Joey,Tierna Davidson
2,Joey,Barbra Olivieri
1,Nancy,Mandy McGlynn
1,Nancy,Savannah DeMelo
1,Nancy,Mia Fishel
2,Nancy,Mandy McGlynn
2,Nancy,Savannah DeMelo
2,Nancy,Mia Fishel
1,Brock Wallace,Angelina Anderson
1,Brock Wallace,Kate Wiesner
1,Brock Wallace,Bea Franklin
2,Brock Wallace,Angelina Anderson
2,Brock Wallace,Marie Müller
2,Brock Wallace,Midge Purce
1,Chris,Jane Campbell
1,Chris,Gia Corley
1,Chris,Jun Endō
2,Chris,Casey Murphy
2,Chris,Narumi Miura
2,Chris,Jun Endō
1,Danny,Marisa Jordan
1,Danny,Cristiana Girelli
1,Danny,Lo'eau LaBonta
2,Danny,Marisa Jordan
2,Danny,Janine Sonis
2,Danny,Manaka Matsukubo
1,Mariam,Abby Smith
1,Mariam,Ally Lemos
1,Mariam,Karlie Lema
2,Mariam,Pauline Peyraud-Magnin
2,Mariam,Karlie Lema
2,Mariam,Ally Brazier
1,Noelle,Katie Lund
1,Noelle,Lindsay Heaps
1,Noelle,Temwa Chawinga
2,Noelle,Katie Lund
2,Noelle,Lindsay Heaps
2,Noelle,Temwa Chawinga
1,Ryne,Laurel Ivory
1,Ryne,Linda Ullmark
1,Ryne,Solai Washington
2,Ryne,Laurel Ivory
2,Ryne,Jordyn Bugg
2,Ryne,Ally Schlegel
1,Cameron,Alyssa Naeher
1,Cameron,Ellie Jean
1,Cameron,Andi Sullivan
2,Cameron,Alyssa Naeher
2,Cameron,Ellie Jean
2,Cameron,Andi Sullivan
1,Jackson,Mackenzie Arnold
1,Jackson,Josefine Hasbo
1,Jackson,Jasmine Aikey
2,Jackson,Mackenzie Arnold
2,Jackson,Sally Menti
2,Jackson,Jasmine Aikey
