manager,player,player_id,db_name,match_score,team
Bill,Amanda Gutierres,1345776,Amanda,100.0,Boston Legacy FC
Bill,Claire Hutton,1618202,Claire Hutton,100.0,Bay FC
Bill,Claudia Dickey,1359805,Claudia Dickey,100.0,Seattle Reign FC
Bill,Didi Haracic,1081903,Dijana Haracic,100.0,San Diego Wave FC
Bill,Izzy Rodriguez,1360354,Izzy Rodriguez,100.0,Kansas City Current
Bill,Kerry Abello,1359801,Kerry Abello,100.0,Orlando Pride
Bill,Malia Berkely,1294816,Malia Berkely,100.0,Houston Dash
Bill,Melissa Kössler,898503,Melissa Kössler,100.0,Denver Summit FC
Bill,Raquel Rodríguez,646209,Raquel Rodriguez,100.0,Kansas City Current
Bill,Rebeca Bernal,1269074,Rebeca Bernal,100.0,Washington Spirit
Bill,Rose Lavelle,844537,Rose Lavelle,100.0,Gotham FC
Bill,Rosemonde Kouassi,1314369,Rosemonde Kouassi,100.0,Washington Spirit
Bill,Shinomi Koyama,1636892,Shinomi Koyama,100.0,North Carolina Courage
Bill,Sofia Huerta,638633,Sofia Huerta,100.0,Seattle Reign FC
Brock Wallace,Angelina Anderson,1451621,Angelina Anderson,100.0,Angel City FC
Brock Wallace,Bea Franklin,1618188,Bea Franklin,100.0,Chicago Stars
Brock Wallace,Croix Bethune,1624167,Croix Bethune,100.0,Kansas City Current
Brock Wallace,Emma Sears,1623842,Emma Sears,100.0,Racing Louisville
Brock Wallace,Haley McCutcheon,964357,Haley McCutcheon,100.0,Orlando Pride
Brock Wallace,Hina Sugita,980951,Hina Sugita,100.0,Angel City FC
Brock Wallace,Jordan Silkowitz,1455307,Jordan Silkowitz,100.0,Bay FC
Brock Wallace,Katie Wiesner,1624169,Kate Wiesner,96.0,Washington Spirit
Brock Wallace,Margaret Purce,860079,Midge Purce,100.0,Gotham FC
Brock Wallace,Marie Müller,896371,Marie Müller,100.0,Portland Thorns
Brock Wallace,Maycee Bell,1618206,Maycee Bell,100.0,North Carolina Courage
Brock Wallace,Paige Nielsen,1079072,Paige Nielsen,100.0,Houston Dash
Brock Wallace,Racheal Kundananji,1091741,Racheal Kundananji,100.0,Bay FC
Brock Wallace,Sofia Cantore,1184986,Sofia Cantore,100.0,Washington Spirit
Cameron,Alyssa Naeher,294601,Alyssa Naeher,100.0,Chicago Stars
Cameron,Andi Sullivan,1028124,Andi Sullivan,100.0,Washington Spirit
Cameron,Anna Moorhouse,1045113,Anna Moorhouse,100.0,Orlando Pride
Cameron,Ellie Jean,1127984,Ellie Jean,100.0,Racing Louisville
Cameron,Gabrielle Carle,734811,Gabrielle Carle,100.0,Washington Spirit
Cameron,Kayla Sharples,1081818,Kayla Sharples,100.0,Kansas City Current
Cameron,Kennedy Fuller,1624205,Kennedy Fuller,100.0,Angel City FC
Cameron,Mina Tanaka,980948,Mina Tanaka,100.0,Utah Royals
Cameron,Phoebe McClernon,1266133,Phoebe McClernon,100.0,Seattle Reign FC
Cameron,Reyna Reyes,1269083,Reyna Reyes,100.0,Portland Thorns
Cameron,Riley Jackson,1618208,Riley Jackson,100.0,North Carolina Courage
Cameron,Riley Tiernan,1727376,Riley Tiernan,100.0,Angel City FC
Cameron,Samantha Meza,1618236,Samantha Meza,100.0,Seattle Reign FC
Cameron,Sarah Schupansky,1727435,Sarah Schupansky,100.0,Gotham FC
Chris,Ary Borges,1366878,Ary Borges,100.0,Racing Louisville
Chris,Ayo Oke,1748347,Ayooluwa Oke,100.0,Denver Summit FC
Chris,Casey Murphy,1081894,Casey Murphy,100.0,Boston Legacy FC
Chris,Elizabeth Ball,1081882,Elizabeth Ball,100.0,Kansas City Current
Chris,Eva Gaetino,1611157,Eva Gaetino,100.0,Denver Summit FC
Chris,Gia Corley,1091594,Gia Corley,100.0,San Diego Wave FC
Chris,Hailie Mace,1018828,Hailie Mace,100.0,Orlando Pride
Chris,Jane Campbell,1081831,Jane Campbell,100.0,Houston Dash
Chris,Jun Endō,980955,Jun Endo,100.0,Angel City FC
Chris,Ludmila,887335,Ludmila da Silva,100.0,San Diego Wave FC
Chris,Narumi Miura,980945,Narumi Miura,100.0,Washington Spirit
