seed_name,player_id,db_name,score,needs_review
Adriana,1231806,Adriana Leal,73.6842105263158,True
Allie Long,1727491,Allie George,72.72727272727273,True
Ally Cook,1623869,Allison Cook,76.19047619047619,True
Ally Prisock,1623869,Allison Cook,66.66666666666667,True
Amanda Haught,1626420,Amanda West,66.66666666666667,True
Ana-Maria Crnogorčević,294953,Ana Maria Crnogorcevic,72.72727272727273,True
Andressa,646061,Andressa Alves,72.72727272727273,True
Anna Podojil,1553448,Ana Dias,60.0,True
Bianca St Georges,1170228,Bianca Rose St-Georges,71.7948717948718,True
Civana Kuhlmann,1510834,Ana Guzman,64.0,True
Clara Robbins,1418346,Clarissa Larisey,62.06896551724138,True
Cori Dyke,1626117,Coriana Dyke,85.71428571428572,True
Dani Weatherholt,872714,Danielle Weatherholt,88.88888888888889,True
DiDi Haracic,1081903,Dijana Haracic,76.92307692307692,True
Emily Curran,646174,Emily Alvarado,61.53846153846154,True
Emily Madril,1727503,Emily Mason,69.56521739130434,True
Emma Jaskaniec,1623842,Emma Sears,58.33333333333333,True
Felicia Knox,886252,Felicitas Rauch,59.25925925925925,True
Gabby Provenzano,1530808,Abby Boyan,61.53846153846154,True
Haley Hanson,1455303,Haley Hopkins,72.0,True
Isabel Rodriguez,646209,Raquel Rodriguez,81.25,True
Isabella Briede,985424,Isabella Bryld Obaze,68.57142857142857,True
Isabella Obaze,985424,Isabella Bryld Obaze,82.35294117647058,True
Janine Beckie,887860,Jennifer Beattie,62.06896551724138,True
Jess Carter,932208,Jessica Carter,88.0,True
Jess Fishlock,638033,Jessica Fishlock,89.65517241379311,True
Julia Bianchi,1028124,Andi Sullivan,61.53846153846154,True
Kat Asman,1685391,Katherine Asman,75.0,True
Katie Johnson,734779,Katlyn Johnson,81.4814814814815,True
Kiki Pickett,1266199,Kiara Pickett,80.0,True
Kiki Van Zanten,1386849,Kalyssa van Zanten,72.72727272727273,True
Kristen Wright,1018820,Arin Wright,80.0,True
Ludmila,887335,Ludmila da Silva,60.86956521739131,True
Lynn Williams,1081857,Ryan Williams,84.61538461538461,True
Lyza Bosselmann,1457703,Lyza Jessee,61.53846153846154,True
Maddie Mercado,1643301,Madison Mercado,82.75862068965517,True
Maddie Moreau,1626413,Madeline Moreau,85.71428571428572,True
Maitane López Millán,1044175,Maitane Lopez,78.78787878787878,True
Makenzy Doniak,294925,Kenza Dali,58.33333333333333,True
Mallory Weber,1727482,Sarah Weber,66.66666666666667,True
Margaret Purce,860079,Midge Purce,72.0,True
Marisa Bova,1360027,Marisa Jordan,75.0,True
Mary Vignola,1360382,Mary Alice Vignola,80.0,True
Mwanalima Adam Jereko,1674886,Mwanalima Jereko,86.48648648648648,True
Olivia Griffitts,1359803,Olivia Athens,62.06896551724138,True
Sam Meza,1618236,Samantha Meza,76.19047619047619,True
Sami Feller,1729628,Moira Kelley,60.86956521739131,True
Sarah Clark,1170524,Kyra Carusa,63.63636363636363,True
Savannah King,1618171,Savy King,72.72727272727273,True
Savannah Madden,1359792,Savannah DeMelo,73.33333333333334,True
Sofia Manner,1184986,Sofia Cantore,72.0,True
Sophia Smith,99767,Sophie Schmidt,76.92307692307692,True
Sophie Jones,1463166,Sophie Hirst,66.66666666666667,True
Waniya Hudson,1728516,Nya Harrison,64.0,True
Abby Dahlkemper,754150,Abby Dahlkemper,100,False
Abby Erceg,99857,Abby Erceg,100,False
Abby Smith,1081909,Abby Smith,100,False
Addisyn Merrick,1171177,Addisyn Merrick,100,False
Adrianna Franch,626683,Adrianna Franch,100,False
Agnes Nyberg,1130062,Agnes Nyberg,100,False
Ainsley McCammon,1675026,Ainsley McCammon,100,False
Alana Cook,1091825,Alana Cook,100,False
Alex Kerr,1641722,Alex Kerr,100,False
Alex Loera,1359938,Alexis Loera,90.9090909090909,False
Alex Morgan,271319,Alex Morgan,100,False
Alex Pfeiffer,1623817,Alex Pfeiffer,100,False
Alexa Spaanstra,1455302,Alexa Spaanstra,100,False
Ali Riley,99865,Ali Riley,100,False
Aline Gomes,1611595,Aline Gomes,100,False
Ally Lemos,1618241,Ally Lemos,100,False
Ally Sentnor,1623860,Ally Sentnor,100,False
Ally Watt,1135809,Ally Watt,100,False
Allyson Schlegel,1455367,Allyson Schlegel,100,False
Almuth Schult,271111,Almuth Schult,100,False
Alyssa Malonson,1359808,Alyssa Malonson,100,False
Alyssa Naeher,294601,Alyssa Naeher,100,False
Alyssa Thompson,1412460,Alyssa Thompson,100,False
Amanda Allen,1469900,Amanda Allen,100,False
Amanda West,1626420,Amanda West,100,False
Amandine Henry,182906,Amandine Henry,100,False
Amirah Ali,1352861,Amirah Ali,100,False
Ana Dias,1553448,Ana Dias,100,False
Ana Tejada,1044346,Ana Tejada,100,False
Anaïg Butel,646082,Annaig Butel,95.65217391304348,False
Andi Sullivan,1028124,Andi Sullivan,100,False
Angelina,1266142,Angelina,100,False
Angelina Anderson,1451621,Angelina Anderson,100,False
Angharad James,1082570,Angharad James,100,False
Ann-Katrin Berger,294602,Ann-Katrin Berger,100,False
Anna Heilferty,1266159,Anna Heilferty,100,False
Anna Moorhouse,1045113,Anna Moorhouse,100,False
Arin Wright,1018820,Arin Wright,100,False
Ary Borges,1366878,Ary Borges,100,False
Ashley Hatch,852090,Ashley Hatch,100,False
Ashley Sanchez,1170693,Ashley Sanchez,100,False
Asisat Oshoala,645972,Asisat Oshoala,100,False
Aubrey Kingsbury,562800,Aubrey Kingsbury,100,False
Ava Cook,1360374,Ava Cook,100,False
Avery Patterson,1623859,Avery Patterson,100,False
Barbra Banda,1044266,Barbra Banda,100,False
Bayley Feist,1067377,Bayley Feist,100,False
Bea Franklin,1618188,Bea Franklin,100,False
Beatriz,271422,Beatriz,100,False
Becky Sauerbrunn,128890,Becky Sauerbrunn,100,False
Bethany Balcer,1045108,Bethany Balcer,100,False
Brecken Mozingo,1618332,Brecken Mozingo,100,False
Brianna Martinez,1457879,Brianna Martinez,100,False
Brianna Pinto,1266126,Brianna Pinto,100,False
Brittany Ratcliffe,859866,Brittany Ratcliffe,100,False
Bruninha,1408623,Bruninha,100,False
Bárbara Olivieri,1350551,Barbara Olivieri,100,False
Cameron Tucker,1360048,Cameron Tucker,100,False
Camryn Biegalski,1170662,Camryn Biegalski,100,False
Caprice Dydasco,1081898,Caprice Dydasco,100,False
Cari Roccaro,851630,Cari Roccaro,100,False
Carly Nelson,1170960,Carly Nelson,100,False
Caroline Conti,1624860,Caroline Conti,100,False
Carrie Lawrence,1190666,Carrie Lawrence,100,False
Carson Pickett,762340,Carson Pickett,100,False
Casey Krueger,626682,Casey Krueger,100,False
Casey Murphy,1081894,Casey Murphy,100,False
Casey Phair,1510841,Casey Phair,100,False
Cassie Miller,1170676,Cassie Miller,100,False
Cecelia Kizer,1081834,Cecelia Kizer,100,False
Cecelia Kizer,1081834,Cecelia Kizer,100,False
Celia Jiménez,646088,Celia Jimenez,100,False
Chardonnay Curran,1360351,Chardonnay Curran,100,False
Charlotte McLean,1585743,Charlotte McLean,100,False
